date,Außenputz,isPartial
2018-01-07,26,False
2018-01-14,38,False
2018-01-21,43,False
2018-01-28,34,False
2018-02-04,53,False
2018-02-11,53,False
2018-02-18,65,False
2018-02-25,38,False
2018-03-04,52,False
2018-03-11,26,False
2018-03-18,26,False
2018-03-25,65,False
2018-04-01,73,False
2018-04-08,39,False
2018-04-15,80,False
2018-04-22,77,False
2018-04-29,63,False
2018-05-06,45,False
2018-05-13,43,False
2018-05-20,55,False
2018-05-27,60,False
2018-06-03,43,False
2018-06-10,75,False
2018-06-17,38,False
2018-06-24,39,False
2018-07-01,26,False
2018-07-08,50,False
2018-07-15,53,False
2018-07-22,68,False
2018-07-29,82,False
2018-08-05,27,False
2018-08-12,54,False
2018-08-19,27,False
2018-08-26,62,False
2018-09-02,39,False
2018-09-09,53,False
2018-09-16,26,False
2018-09-23,53,False
2018-09-30,35,False
2018-10-07,40,False
2018-10-14,62,False
2018-10-21,44,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,51,False
2018-11-18,74,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,25,False
2018-12-16,39,False
2018-12-23,44,False
2018-12-30,27,False
2019-01-06,48,False
2019-01-13,36,False
2019-01-20,24,False
2019-01-27,71,False
2019-02-03,24,False
2019-02-10,33,False
2019-02-17,74,False
2019-02-24,75,False
2019-03-03,32,False
2019-03-10,48,False
2019-03-17,58,False
2019-03-24,58,False
2019-03-31,65,False
2019-04-07,42,False
2019-04-14,72,False
2019-04-21,88,False
2019-04-28,33,False
2019-05-05,24,False
2019-05-12,33,False
2019-05-19,57,False
2019-05-26,63,False
2019-06-02,41,False
2019-06-09,84,False
2019-06-16,34,False
2019-06-23,50,False
2019-06-30,62,False
2019-07-07,57,False
2019-07-14,43,False
2019-07-21,74,False
2019-07-28,67,False
2019-08-04,82,False
2019-08-11,61,False
2019-08-18,39,False
2019-08-25,49,False
2019-09-01,57,False
2019-09-08,33,False
2019-09-15,58,False
2019-09-22,48,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,72,False
2019-10-20,57,False
2019-10-27,48,False
2019-11-03,46,False
2019-11-10,46,False
2019-11-17,60,False
2019-11-24,22,False
2019-12-01,45,False
2019-12-08,38,False
2019-12-15,35,False
2019-12-22,53,False
2019-12-29,25,False
2020-01-05,33,False
2020-01-12,49,False
2020-01-19,37,False
2020-01-26,29,False
2020-02-02,43,False
2020-02-09,52,False
2020-02-16,29,False
2020-02-23,42,False
2020-03-01,42,False
2020-03-08,27,False
2020-03-15,30,False
2020-03-22,79,False
2020-03-29,46,False
2020-04-05,57,False
2020-04-12,68,False
2020-04-19,100,False
2020-04-26,78,False
2020-05-03,46,False
2020-05-10,40,False
