ticket_geo_region_name,ticket_taxonomy_tag_name,year,Rank,Max,Min,Demand_factor_max_to_min
Switzerland,Solar,2018,1,9,3,4.74
Switzerland,Blumen,2018,2,3,11,2.96
Switzerland,Fenster,2018,3,8,6,2.09
Switzerland,bauen,2018,4,8,6,2.09
Switzerland,Elektriker,2018,5,9,0,5.06
Switzerland,Solar,2019,1,9,0,3.09
Switzerland,Blumen,2019,2,4,0,2.1
Switzerland,bauen,2019,3,2,7,3.02
Switzerland,Fenster,2019,4,2,7,3.02
Switzerland,Elektriker,2019,5,0,5,4.88
Switzerland,Blumen,2020,1,3,0,3.8
Switzerland,Solar,2020,2,6,1,2.16
Switzerland,bauen,2020,3,6,3,1.57
Switzerland,Fenster,2020,4,6,3,1.57
Switzerland,Elektriker,2020,5,1,5,41.5
