geoName,geoCode,Pflanzen
Burgenland,AT-1,100
Carinthia,AT-2,96
Lower Austria,AT-3,95
Salzburg,AT-5,79
Styria,AT-6,86
Tyrol,AT-7,83
Upper Austria,AT-4,89
Vienna,AT-9,67
Vorarlberg,AT-8,88
