geoName,geoCode,Gebäudereinigung
Baden-Württemberg,DE-BW,77
Bavaria,DE-BY,61
Berlin,DE-BE,57
Brandenburg,DE-BB,66
Bremen,DE-HB,100
Hamburg,DE-HH,68
Hesse,DE-HE,60
Lower Saxony,DE-NI,81
Mecklenburg-Vorpommern,DE-MV,63
North Rhine-Westphalia,DE-NW,84
Rhineland-Palatinate,DE-RP,64
Saarland,DE-SL,77
Saxony,DE-SN,49
Saxony-Anhalt,DE-ST,64
Schleswig-Holstein,DE-SH,67
Thuringia,DE-TH,66
