geoName,geoCode,Lieferdienst Lebensmittel
Baden-Württemberg,DE-BW,51
Bavaria,DE-BY,39
Berlin,DE-BE,100
Brandenburg,DE-BB,31
Bremen,DE-HB,46
Hamburg,DE-HH,53
Hesse,DE-HE,53
Lower Saxony,DE-NI,36
Mecklenburg-Vorpommern,DE-MV,79
North Rhine-Westphalia,DE-NW,58
Rhineland-Palatinate,DE-RP,44
Saarland,DE-SL,59
Saxony,DE-SN,46
Saxony-Anhalt,DE-ST,58
Schleswig-Holstein,DE-SH,46
Thuringia,DE-TH,19
