geoName,geoCode,Smart Home
Burgenland,AT-1,100
Carinthia,AT-2,77
Lower Austria,AT-3,67
Salzburg,AT-5,46
Styria,AT-6,84
Tyrol,AT-7,79
Upper Austria,AT-4,60
Vienna,AT-9,58
Vorarlberg,AT-8,79
