geoName,geoCode,disco
Abruzzo,IT-65,86
Aosta,IT-23,74
Apulia,IT-75,80
Basilicata,IT-77,64
Calabria,IT-78,77
Campania,IT-72,81
Emilia-Romagna,IT-45,92
Friuli-Venezia Giulia,IT-36,90
Lazio,IT-62,81
Liguria,IT-42,100
Lombardy,IT-25,86
Marche,IT-57,83
Molise,IT-67,87
Piedmont,IT-21,83
Sardinia,IT-88,79
Sicily,IT-82,72
Trentino-Alto Adige/South Tyrol,IT-32,69
Tuscany,IT-52,93
Umbria,IT-55,93
Veneto,IT-34,88
