date,disco,isPartial
2018-01-07,90,False
2018-01-14,86,False
2018-01-21,86,False
2018-01-28,78,False
2018-02-04,78,False
2018-02-11,84,False
2018-02-18,83,False
2018-02-25,71,False
2018-03-04,82,False
2018-03-11,89,False
2018-03-18,88,False
2018-03-25,83,False
2018-04-01,93,False
2018-04-08,85,False
2018-04-15,82,False
2018-04-22,89,False
2018-04-29,82,False
2018-05-06,86,False
2018-05-13,76,False
2018-05-20,94,False
2018-05-27,90,False
2018-06-03,87,False
2018-06-10,82,False
2018-06-17,85,False
2018-06-24,83,False
2018-07-01,77,False
2018-07-08,82,False
2018-07-15,83,False
2018-07-22,76,False
2018-07-29,90,False
2018-08-05,88,False
2018-08-12,87,False
2018-08-19,82,False
2018-08-26,87,False
2018-09-02,82,False
2018-09-09,77,False
2018-09-16,75,False
2018-09-23,78,False
2018-09-30,80,False
2018-10-07,82,False
2018-10-14,89,False
2018-10-21,88,False
2018-10-28,90,False
2018-11-04,83,False
2018-11-11,92,False
2018-11-18,85,False
2018-11-25,93,False
2018-12-02,92,False
2018-12-09,92,False
2018-12-16,78,False
2018-12-23,92,False
2018-12-30,97,False
2019-01-06,89,False
2019-01-13,80,False
2019-01-20,85,False
2019-01-27,79,False
2019-02-03,81,False
2019-02-10,83,False
2019-02-17,84,False
2019-02-24,85,False
2019-03-03,84,False
2019-03-10,78,False
2019-03-17,90,False
2019-03-24,84,False
2019-03-31,84,False
2019-04-07,80,False
2019-04-14,75,False
2019-04-21,86,False
2019-04-28,79,False
2019-05-05,76,False
2019-05-12,80,False
2019-05-19,82,False
2019-05-26,83,False
2019-06-02,83,False
2019-06-09,82,False
2019-06-16,78,False
2019-06-23,76,False
2019-06-30,78,False
2019-07-07,82,False
2019-07-14,78,False
2019-07-21,81,False
2019-07-28,84,False
2019-08-04,82,False
2019-08-11,83,False
2019-08-18,81,False
2019-08-25,83,False
2019-09-01,76,False
2019-09-08,85,False
2019-09-15,85,False
2019-09-22,81,False
2019-09-29,84,False
2019-10-06,84,False
2019-10-13,88,False
2019-10-20,84,False
2019-10-27,93,False
2019-11-03,83,False
2019-11-10,83,False
2019-11-17,88,False
2019-11-24,85,False
2019-12-01,93,False
2019-12-08,86,False
2019-12-15,91,False
2019-12-22,97,False
2019-12-29,100,False
2020-01-05,81,False
2020-01-12,82,False
2020-01-19,81,False
2020-01-26,81,False
2020-02-02,82,False
2020-02-09,84,False
2020-02-16,84,False
2020-02-23,71,False
2020-03-01,73,False
2020-03-08,57,False
2020-03-15,64,False
2020-03-22,68,False
2020-03-29,69,False
2020-04-05,73,False
2020-04-12,73,False
2020-04-19,72,False
2020-04-26,73,True
