date,feste per bambini,isPartial
2018-01-07,79,False
2018-01-14,86,False
2018-01-21,90,False
2018-01-28,77,False
2018-02-04,80,False
2018-02-11,52,False
2018-02-18,59,False
2018-02-25,48,False
2018-03-04,61,False
2018-03-11,71,False
2018-03-18,38,False
2018-03-25,38,False
2018-04-01,39,False
2018-04-08,61,False
2018-04-15,53,False
2018-04-22,62,False
2018-04-29,46,False
2018-05-06,57,False
2018-05-13,52,False
2018-05-20,57,False
2018-05-27,55,False
2018-06-03,55,False
2018-06-10,63,False
2018-06-17,50,False
2018-06-24,41,False
2018-07-01,34,False
2018-07-08,47,False
2018-07-15,41,False
2018-07-22,35,False
2018-07-29,52,False
2018-08-05,44,False
2018-08-12,46,False
2018-08-19,53,False
2018-08-26,63,False
2018-09-02,100,False
2018-09-09,78,False
2018-09-16,72,False
2018-09-23,82,False
2018-09-30,100,False
2018-10-07,82,False
2018-10-14,81,False
2018-10-21,92,False
2018-10-28,67,False
2018-11-04,80,False
2018-11-11,63,False
2018-11-18,53,False
2018-11-25,34,False
2018-12-02,50,False
2018-12-09,25,False
2018-12-16,38,False
2018-12-23,30,False
2018-12-30,74,False
2019-01-06,61,False
2019-01-13,46,False
2019-01-20,43,False
2019-01-27,65,False
2019-02-03,64,False
2019-02-10,41,False
2019-02-17,64,False
2019-02-24,65,False
2019-03-03,52,False
2019-03-10,47,False
2019-03-17,27,False
2019-03-24,52,False
2019-03-31,57,False
2019-04-07,46,False
2019-04-14,32,False
2019-04-21,17,False
2019-04-28,52,False
2019-05-05,56,False
2019-05-12,39,False
2019-05-19,62,False
2019-05-26,38,False
2019-06-02,35,False
2019-06-09,47,False
2019-06-16,49,False
2019-06-23,25,False
2019-06-30,32,False
2019-07-07,48,False
2019-07-14,32,False
2019-07-21,44,False
2019-07-28,42,False
2019-08-04,38,False
2019-08-11,33,False
2019-08-18,29,False
2019-08-25,63,False
2019-09-01,86,False
2019-09-08,84,False
2019-09-15,73,False
2019-09-22,81,False
2019-09-29,80,False
2019-10-06,62,False
2019-10-13,70,False
2019-10-20,63,False
2019-10-27,89,False
2019-11-03,80,False
2019-11-10,71,False
2019-11-17,56,False
2019-11-24,54,False
2019-12-01,27,False
2019-12-08,46,False
2019-12-15,38,False
2019-12-22,32,False
2019-12-29,51,False
2020-01-05,53,False
2020-01-12,66,False
2020-01-19,73,False
2020-01-26,73,False
2020-02-02,73,False
2020-02-09,40,False
2020-02-16,70,False
2020-02-23,29,False
2020-03-01,22,False
2020-03-08,5,False
2020-03-15,7,False
2020-03-22,3,False
2020-03-29,7,False
2020-04-05,7,False
2020-04-12,7,False
2020-04-19,15,False
2020-04-26,12,True
