geoName,geoCode,techno
Abruzzo,IT-65,52
Aosta,IT-23,0
Apulia,IT-75,68
Basilicata,IT-77,79
Calabria,IT-78,63
Campania,IT-72,53
Emilia-Romagna,IT-45,75
Friuli-Venezia Giulia,IT-36,100
Lazio,IT-62,57
Liguria,IT-42,80
Lombardy,IT-25,81
Marche,IT-57,61
Molise,IT-67,76
Piedmont,IT-21,73
Sardinia,IT-88,66
Sicily,IT-82,62
Trentino-Alto Adige/South Tyrol,IT-32,78
Tuscany,IT-52,63
Umbria,IT-55,49
Veneto,IT-34,76
