geoName,geoCode,Rolladen
Burgenland,AT-1,56
Carinthia,AT-2,65
Lower Austria,AT-3,96
Salzburg,AT-5,60
Styria,AT-6,60
Tyrol,AT-7,46
Upper Austria,AT-4,100
Vienna,AT-9,48
Vorarlberg,AT-8,45
