date,Cérémonies,isPartial
2018-01-07,16,False
2018-01-14,23,False
2018-01-21,23,False
2018-01-28,31,False
2018-02-04,19,False
2018-02-11,16,False
2018-02-18,16,False
2018-02-25,20,False
2018-03-04,27,False
2018-03-11,24,False
2018-03-18,43,False
2018-03-25,24,False
2018-04-01,20,False
2018-04-08,16,False
2018-04-15,21,False
2018-04-22,28,False
2018-04-29,20,False
2018-05-06,33,False
2018-05-13,24,False
2018-05-20,24,False
2018-05-27,23,False
2018-06-03,12,False
2018-06-10,30,False
2018-06-17,24,False
2018-06-24,28,False
2018-07-01,23,False
2018-07-08,20,False
2018-07-15,8,False
2018-07-22,21,False
2018-07-29,9,False
2018-08-05,17,False
2018-08-12,40,False
2018-08-19,30,False
2018-08-26,16,False
2018-09-02,16,False
2018-09-09,20,False
2018-09-16,8,False
2018-09-23,41,False
2018-09-30,20,False
2018-10-07,16,False
2018-10-14,16,False
2018-10-21,8,False
2018-10-28,16,False
2018-11-04,93,False
2018-11-11,100,False
2018-11-18,12,False
2018-11-25,8,False
2018-12-02,8,False
2018-12-09,8,False
2018-12-16,8,False
2018-12-23,18,False
2018-12-30,21,False
2019-01-06,23,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,30,False
2019-02-10,20,False
2019-02-17,36,False
2019-02-24,28,False
2019-03-03,39,False
2019-03-10,12,False
2019-03-17,24,False
2019-03-24,12,False
2019-03-31,35,False
2019-04-07,24,False
2019-04-14,41,False
2019-04-21,8,False
2019-04-28,24,False
2019-05-05,69,False
2019-05-12,43,False
2019-05-19,23,False
2019-05-26,27,False
2019-06-02,95,False
2019-06-09,38,False
2019-06-16,31,False
2019-06-23,15,False
2019-06-30,12,False
2019-07-07,19,False
2019-07-14,24,False
2019-07-21,16,False
2019-07-28,21,False
2019-08-04,17,False
2019-08-11,21,False
2019-08-18,12,False
2019-08-25,12,False
2019-09-01,19,False
2019-09-08,26,False
2019-09-15,11,False
2019-09-22,22,False
2019-09-29,32,False
2019-10-06,15,False
2019-10-13,18,False
2019-10-20,22,False
2019-10-27,18,False
2019-11-03,28,False
2019-11-10,53,False
2019-11-17,21,False
2019-11-24,14,False
2019-12-01,14,False
2019-12-08,10,False
2019-12-15,7,False
2019-12-22,16,False
2019-12-29,11,False
2020-01-05,17,False
2020-01-12,20,False
2020-01-19,24,False
2020-01-26,30,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,14,False
2020-02-23,33,False
2020-03-01,35,False
2020-03-08,42,False
2020-03-15,28,False
2020-03-22,18,False
2020-03-29,24,False
2020-04-05,36,False
2020-04-12,15,True
