geoName,geoCode,moda
Abruzzo,IT-65,88
Aosta,IT-23,50
Apulia,IT-75,77
Basilicata,IT-77,76
Calabria,IT-78,71
Campania,IT-72,81
Emilia-Romagna,IT-45,83
Friuli-Venezia Giulia,IT-36,74
Lazio,IT-62,83
Liguria,IT-42,66
Lombardy,IT-25,98
Marche,IT-57,97
Molise,IT-67,84
Piedmont,IT-21,72
Sardinia,IT-88,70
Sicily,IT-82,72
Trentino-Alto Adige/South Tyrol,IT-32,52
Tuscany,IT-52,85
Umbria,IT-55,100
Veneto,IT-34,92
