date,moda,isPartial
2018-01-07,82,False
2018-01-14,86,False
2018-01-21,86,False
2018-01-28,79,False
2018-02-04,78,False
2018-02-11,74,False
2018-02-18,90,False
2018-02-25,81,False
2018-03-04,75,False
2018-03-11,83,False
2018-03-18,85,False
2018-03-25,81,False
2018-04-01,81,False
2018-04-08,83,False
2018-04-15,84,False
2018-04-22,80,False
2018-04-29,76,False
2018-05-06,83,False
2018-05-13,81,False
2018-05-20,76,False
2018-05-27,77,False
2018-06-03,76,False
2018-06-10,79,False
2018-06-17,81,False
2018-06-24,68,False
2018-07-01,69,False
2018-07-08,75,False
2018-07-15,70,False
2018-07-22,66,False
2018-07-29,66,False
2018-08-05,67,False
2018-08-12,58,False
2018-08-19,72,False
2018-08-26,82,False
2018-09-02,95,False
2018-09-09,89,False
2018-09-16,100,False
2018-09-23,98,False
2018-09-30,83,False
2018-10-07,83,False
2018-10-14,85,False
2018-10-21,78,False
2018-10-28,74,False
2018-11-04,77,False
2018-11-11,83,False
2018-11-18,87,False
2018-11-25,79,False
2018-12-02,84,False
2018-12-09,77,False
2018-12-16,80,False
2018-12-23,70,False
2018-12-30,74,False
2019-01-06,81,False
2019-01-13,78,False
2019-01-20,77,False
2019-01-27,75,False
2019-02-03,78,False
2019-02-10,74,False
2019-02-17,96,False
2019-02-24,85,False
2019-03-03,78,False
2019-03-10,74,False
2019-03-17,78,False
2019-03-24,83,False
2019-03-31,78,False
2019-04-07,77,False
2019-04-14,76,False
2019-04-21,76,False
2019-04-28,74,False
2019-05-05,79,False
2019-05-12,73,False
2019-05-19,71,False
2019-05-26,67,False
2019-06-02,79,False
2019-06-09,81,False
2019-06-16,78,False
2019-06-23,71,False
2019-06-30,67,False
2019-07-07,72,False
2019-07-14,65,False
2019-07-21,65,False
2019-07-28,68,False
2019-08-04,62,False
2019-08-11,60,False
2019-08-18,67,False
2019-08-25,74,False
2019-09-01,78,False
2019-09-08,91,False
2019-09-15,99,False
2019-09-22,87,False
2019-09-29,83,False
2019-10-06,83,False
2019-10-13,83,False
2019-10-20,79,False
2019-10-27,75,False
2019-11-03,76,False
2019-11-10,76,False
2019-11-17,79,False
2019-11-24,76,False
2019-12-01,78,False
2019-12-08,72,False
2019-12-15,70,False
2019-12-22,67,False
2019-12-29,66,False
2020-01-05,76,False
2020-01-12,82,False
2020-01-19,74,False
2020-01-26,69,False
2020-02-02,75,False
2020-02-09,70,False
2020-02-16,87,False
2020-02-23,64,False
2020-03-01,63,False
2020-03-08,40,False
2020-03-15,42,False
2020-03-22,42,False
2020-03-29,52,False
2020-04-05,52,False
2020-04-12,64,False
2020-04-19,66,False
2020-04-26,58,True
