geoName,geoCode,acconciature
Abruzzo,IT-65,42
Aosta,IT-23,100
Apulia,IT-75,57
Basilicata,IT-77,88
Calabria,IT-78,46
Campania,IT-72,45
Emilia-Romagna,IT-45,45
Friuli-Venezia Giulia,IT-36,62
Lazio,IT-62,37
Liguria,IT-42,33
Lombardy,IT-25,57
Marche,IT-57,48
Molise,IT-67,52
Piedmont,IT-21,67
Sardinia,IT-88,30
Sicily,IT-82,56
Trentino-Alto Adige/South Tyrol,IT-32,24
Tuscany,IT-52,42
Umbria,IT-55,58
Veneto,IT-34,53
