geoName,geoCode,Putzarbeiten
Baden-Württemberg,DE-BW,21
Bavaria,DE-BY,22
Berlin,DE-BE,11
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,61
Hesse,DE-HE,14
Lower Saxony,DE-NI,27
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,17
Rhineland-Palatinate,DE-RP,14
Saarland,DE-SL,0
Saxony,DE-SN,29
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,0
Thuringia,DE-TH,67
