geoName,geoCode,Jardinier paysagiste
Brittany,FR-E,82.84518828451883
Centre-Val de Loire,FR-F,52.71966527196652
Corsica,FR-H,0.0
Pays de la Loire,FR-R,75.31380753138075
Provence-Alpes-Côte d'Azur,FR-U,96.65271966527196
Île-de-France,FR-J,57.74058577405857
Grand-est,FR-GE,45.60669456066946
Hauts-de-france,FR-HF,38.28451882845188
Normandie,FR-NO,50.836820083682014
Bourgogne-Franche-Comté,FR-BFC,35.77405857740585
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,66.52719665271967
Auvergne-Rhône-Alpes,FR-AR,43.30543933054393
