geoName,geoCode,Heizungsbauer
Baden-Württemberg,DE-BW,31
Bavaria,DE-BY,40
Berlin,DE-BE,8
Brandenburg,DE-BB,15
Bremen,DE-HB,0
Hamburg,DE-HH,8
Hesse,DE-HE,20
Lower Saxony,DE-NI,24
Mecklenburg-Vorpommern,DE-MV,20
North Rhine-Westphalia,DE-NW,16
Rhineland-Palatinate,DE-RP,47
Saarland,DE-SL,100
Saxony,DE-SN,10
Saxony-Anhalt,DE-ST,10
Schleswig-Holstein,DE-SH,20
Thuringia,DE-TH,22
