date,Heizungsbauer,isPartial
2018-01-07,61,False
2018-01-14,18,False
2018-01-21,100,False
2018-01-28,42,False
2018-02-04,19,False
2018-02-11,25,False
2018-02-18,73,False
2018-02-25,54,False
2018-03-04,28,False
2018-03-11,27,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,32,False
2018-04-08,43,False
2018-04-15,25,False
2018-04-22,42,False
2018-04-29,47,False
2018-05-06,19,False
2018-05-13,18,False
2018-05-20,38,False
2018-05-27,36,False
2018-06-03,46,False
2018-06-10,29,False
2018-06-17,24,False
2018-06-24,37,False
2018-07-01,30,False
2018-07-08,35,False
2018-07-15,47,False
2018-07-22,29,False
2018-07-29,32,False
2018-08-05,39,False
2018-08-12,58,False
2018-08-19,28,False
2018-08-26,37,False
2018-09-02,55,False
2018-09-09,37,False
2018-09-16,37,False
2018-09-23,62,False
2018-09-30,44,False
2018-10-07,56,False
2018-10-14,50,False
2018-10-21,44,False
2018-10-28,55,False
2018-11-04,29,False
2018-11-11,90,False
2018-11-18,35,False
2018-11-25,53,False
2018-12-02,41,False
2018-12-09,35,False
2018-12-16,48,False
2018-12-23,21,False
2018-12-30,19,False
2019-01-06,34,False
2019-01-13,39,False
2019-01-20,50,False
2019-01-27,22,False
2019-02-03,59,False
2019-02-10,40,False
2019-02-17,40,False
2019-02-24,24,False
2019-03-03,51,False
2019-03-10,17,False
2019-03-17,24,False
2019-03-24,44,False
2019-03-31,23,False
2019-04-07,18,False
2019-04-14,32,False
2019-04-21,19,False
2019-04-28,29,False
2019-05-05,51,False
2019-05-12,41,False
2019-05-19,34,False
2019-05-26,53,False
2019-06-02,40,False
2019-06-09,41,False
2019-06-16,24,False
2019-06-23,35,False
2019-06-30,26,False
2019-07-07,29,False
2019-07-14,24,False
2019-07-21,33,False
2019-07-28,19,False
2019-08-04,19,False
2019-08-11,46,False
2019-08-18,54,False
2019-08-25,52,False
2019-09-01,52,False
2019-09-08,53,False
2019-09-15,35,False
2019-09-22,43,False
2019-09-29,46,False
2019-10-06,56,False
2019-10-13,40,False
2019-10-20,26,False
2019-10-27,33,False
2019-11-03,43,False
2019-11-10,54,False
2019-11-17,37,False
2019-11-24,36,False
2019-12-01,32,False
2019-12-08,16,False
2019-12-15,65,False
2019-12-22,31,False
2019-12-29,53,False
2020-01-05,86,False
2020-01-12,45,False
2020-01-19,31,False
2020-01-26,46,False
2020-02-02,51,False
2020-02-09,34,False
2020-02-16,36,False
2020-02-23,54,False
2020-03-01,50,False
2020-03-08,42,False
2020-03-15,28,False
2020-03-22,42,False
2020-03-29,46,False
2020-04-05,25,False
2020-04-12,22,False
2020-04-19,19,False
2020-04-26,23,False
2020-05-03,65,False
2020-05-10,42,False
