date,canzone,isPartial
2018-01-07,37,False
2018-01-14,44,False
2018-01-21,27,False
2018-01-28,48,False
2018-02-04,100,False
2018-02-11,69,False
2018-02-18,37,False
2018-02-25,14,False
2018-03-04,34,False
2018-03-11,44,False
2018-03-18,43,False
2018-03-25,41,False
2018-04-01,41,False
2018-04-08,45,False
2018-04-15,50,False
2018-04-22,45,False
2018-04-29,36,False
2018-05-06,19,False
2018-05-13,58,False
2018-05-20,36,False
2018-05-27,37,False
2018-06-03,57,False
2018-06-10,30,False
2018-06-17,42,False
2018-06-24,40,False
2018-07-01,43,False
2018-07-08,46,False
2018-07-15,40,False
2018-07-22,53,False
2018-07-29,47,False
2018-08-05,51,False
2018-08-12,29,False
2018-08-19,37,False
2018-08-26,40,False
2018-09-02,35,False
2018-09-09,17,False
2018-09-16,42,False
2018-09-23,35,False
2018-09-30,62,False
2018-10-07,52,False
2018-10-14,32,False
2018-10-21,62,False
2018-10-28,64,False
2018-11-04,71,False
2018-11-11,37,False
2018-11-18,55,False
2018-11-25,41,False
2018-12-02,78,False
2018-12-09,74,False
2018-12-16,51,False
2018-12-23,90,False
2018-12-30,69,False
2019-01-06,32,False
2019-01-13,71,False
2019-01-20,29,False
2019-01-27,53,False
2019-02-03,77,False
2019-02-10,89,False
2019-02-17,47,False
2019-02-24,29,False
2019-03-03,75,False
2019-03-10,33,False
2019-03-17,47,False
2019-03-24,32,False
2019-03-31,28,False
2019-04-07,17,False
2019-04-14,16,False
2019-04-21,84,False
2019-04-28,45,False
2019-05-05,76,False
2019-05-12,82,False
2019-05-19,40,False
2019-05-26,51,False
2019-06-02,40,False
2019-06-09,56,False
2019-06-16,51,False
2019-06-23,44,False
2019-06-30,83,False
2019-07-07,58,False
2019-07-14,60,False
2019-07-21,44,False
2019-07-28,86,False
2019-08-04,67,False
2019-08-11,43,False
2019-08-18,41,False
2019-08-25,38,False
2019-09-01,34,False
2019-09-08,30,False
2019-09-15,38,False
2019-09-22,74,False
2019-09-29,33,False
2019-10-06,28,False
2019-10-13,66,False
2019-10-20,53,False
2019-10-27,40,False
2019-11-03,47,False
2019-11-10,79,False
2019-11-17,56,False
2019-11-24,39,False
2019-12-01,35,False
2019-12-08,74,False
2019-12-15,63,False
2019-12-22,37,False
2019-12-29,63,False
2020-01-05,68,False
2020-01-12,30,False
2020-01-19,38,False
2020-01-26,65,False
2020-02-02,56,False
2020-02-09,69,False
2020-02-16,43,False
2020-02-23,47,False
2020-03-01,56,False
2020-03-08,53,False
2020-03-15,68,False
2020-03-22,60,False
2020-03-29,41,False
2020-04-05,46,False
2020-04-12,64,False
2020-04-19,96,False
2020-04-26,29,True
