geoName,geoCode,canzone
Abruzzo,IT-65,84
Aosta,IT-23,72
Apulia,IT-75,94
Basilicata,IT-77,91
Calabria,IT-78,100
Campania,IT-72,85
Emilia-Romagna,IT-45,69
Friuli-Venezia Giulia,IT-36,69
Lazio,IT-62,74
Liguria,IT-42,70
Lombardy,IT-25,73
Marche,IT-57,77
Molise,IT-67,85
Piedmont,IT-21,73
Sardinia,IT-88,82
Sicily,IT-82,87
Trentino-Alto Adige/South Tyrol,IT-32,48
Tuscany,IT-52,73
Umbria,IT-55,74
Veneto,IT-34,75
