geoName,geoCode,Rasen mähen
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,66
Salzburg,AT-5,0
Styria,AT-6,56
Tyrol,AT-7,29
Upper Austria,AT-4,40
Vienna,AT-9,14
Vorarlberg,AT-8,0
