geoName,geoCode,abiti da sposa
Abruzzo,IT-65,64
Aosta,IT-23,61
Apulia,IT-75,70
Basilicata,IT-77,100
Calabria,IT-78,91
Campania,IT-72,61
Emilia-Romagna,IT-45,50
Friuli-Venezia Giulia,IT-36,47
Lazio,IT-62,61
Liguria,IT-42,57
Lombardy,IT-25,56
Marche,IT-57,47
Molise,IT-67,74
Piedmont,IT-21,51
Sardinia,IT-88,50
Sicily,IT-82,73
Trentino-Alto Adige/South Tyrol,IT-32,32
Tuscany,IT-52,51
Umbria,IT-55,45
Veneto,IT-34,46
