geoName,geoCode,fotografia
Andalusia,ES-AN,74
Aragon,ES-AR,90
Asturias,ES-AS,72
Balearic Islands,ES-IB,74
Basque Country,ES-PV,73
Canary Islands,ES-CN,71
Cantabria,ES-CB,59
Castile and León,ES-CL,83
Castile-La Mancha,ES-CM,74
Catalonia,ES-CT,100
Ceuta,ES-CE,30
Community of Madrid,ES-MD,95
Extremadura,ES-EX,74
Galicia,ES-GA,92
La Rioja,ES-RI,89
Melilla,ES-ML,78
Navarre,ES-NC,80
Region of Murcia,ES-MC,79
Valencian Community,ES-VC,80
