geoName,geoCode,Granitfliesen
Baden-Württemberg,DE-BW,45
Bavaria,DE-BY,39
Berlin,DE-BE,26
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,24
Hesse,DE-HE,23
Lower Saxony,DE-NI,22
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,32
Rhineland-Palatinate,DE-RP,42
Saarland,DE-SL,100
Saxony,DE-SN,29
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,19
Thuringia,DE-TH,0
