geoName,geoCode,Neubau
Baden-Württemberg,DE-BW,59
Bavaria,DE-BY,57
Berlin,DE-BE,64
Brandenburg,DE-BB,36
Bremen,DE-HB,58
Hamburg,DE-HH,100
Hesse,DE-HE,54
Lower Saxony,DE-NI,61
Mecklenburg-Vorpommern,DE-MV,32
North Rhine-Westphalia,DE-NW,58
Rhineland-Palatinate,DE-RP,51
Saarland,DE-SL,48
Saxony,DE-SN,44
Saxony-Anhalt,DE-ST,41
Schleswig-Holstein,DE-SH,64
Thuringia,DE-TH,40
