geoName,geoCode,Partecipazioni matrimonio
Abruzzo,IT-65,58
Aosta,IT-23,0
Apulia,IT-75,67
Basilicata,IT-77,59
Calabria,IT-78,49
Campania,IT-72,100
Emilia-Romagna,IT-45,71
Friuli-Venezia Giulia,IT-36,46
Lazio,IT-62,53
Liguria,IT-42,44
Lombardy,IT-25,51
Marche,IT-57,90
Molise,IT-67,0
Piedmont,IT-21,84
Sardinia,IT-88,39
Sicily,IT-82,90
Trentino-Alto Adige/South Tyrol,IT-32,63
Tuscany,IT-52,49
Umbria,IT-55,28
Veneto,IT-34,64
