date,Certificazione energetica,Costruzione o sostituzione tetto,Installazione o sostituzione doppi vetri,Installazione o sostituzione finestre,Installazione o sostituzione pannelli fotovoltaici,Rifacimento facciata,Riparazione o manutenzione tetto,Riqualificazione energetica
2018-01-01,18.991097922848667,0.8902077151335311,0.0,20.77151335311573,2.0771513353115725,0.5934718100890208,1.1869436201780417,0.5934718100890208
2018-02-01,24.92581602373887,0.8902077151335311,0.0,17.804154302670625,3.5608308605341246,0.2967359050445104,1.1869436201780417,0.0
2018-03-01,29.970326409495552,0.5934718100890208,0.0,10.385756676557865,0.8902077151335311,0.0,0.2967359050445104,0.2967359050445104
2018-04-01,20.178041543026705,2.0771513353115725,0.2967359050445104,9.198813056379821,1.1869436201780417,0.0,1.7804154302670623,0.2967359050445104
2018-05-01,22.8486646884273,0.8902077151335311,0.8902077151335311,14.243323442136498,1.483679525222552,0.2967359050445104,2.6706231454005933,0.0
2018-06-01,17.50741839762611,1.483679525222552,0.2967359050445104,9.792284866468842,2.967359050445104,0.0,0.5934718100890208,0.0
2018-07-01,24.03560830860534,2.0771513353115725,0.5934718100890208,10.089020771513352,1.7804154302670623,0.5934718100890208,1.1869436201780417,0.2967359050445104
2018-08-01,18.100890207715135,0.8902077151335311,0.2967359050445104,15.43026706231454,4.747774480712167,0.2967359050445104,2.0771513353115725,0.2967359050445104
2018-09-01,21.068249258160236,1.483679525222552,0.2967359050445104,22.8486646884273,2.0771513353115725,0.5934718100890208,2.967359050445104,1.483679525222552
2018-10-01,16.61721068249258,1.7804154302670623,0.2967359050445104,16.320474777448073,3.2640949554896146,2.0771513353115725,4.747774480712167,1.483679525222552
2018-11-01,22.8486646884273,0.8902077151335311,0.5934718100890208,14.243323442136498,2.3738872403560833,0.8902077151335311,1.7804154302670623,0.2967359050445104
2018-12-01,10.682492581602373,0.5934718100890208,0.5934718100890208,13.94658753709199,1.7804154302670623,0.2967359050445104,1.1869436201780417,0.5934718100890208
2019-01-01,24.92581602373887,2.0771513353115725,1.1869436201780417,20.77151335311573,2.967359050445104,0.2967359050445104,1.1869436201780417,0.2967359050445104
2019-02-01,21.068249258160236,1.483679525222552,1.483679525222552,15.133531157270031,4.451038575667656,0.0,2.6706231454005933,0.0
2019-03-01,25.519287833827892,2.967359050445104,1.1869436201780417,21.66172106824926,4.451038575667656,1.483679525222552,2.967359050445104,0.0
2019-04-01,25.816023738872403,3.2640949554896146,1.1869436201780417,19.584569732937684,4.747774480712167,0.2967359050445104,4.451038575667656,0.2967359050445104
2019-05-01,21.958456973293767,4.451038575667656,0.2967359050445104,19.584569732937684,3.857566765578635,0.2967359050445104,8.902077151335313,0.0
2019-06-01,18.694362017804153,3.5608308605341246,0.2967359050445104,13.649851632047477,7.418397626112759,0.2967359050445104,3.2640949554896146,0.5934718100890208
2019-07-01,20.77151335311573,5.934718100890208,1.1869436201780417,13.649851632047477,6.528189910979229,0.2967359050445104,3.2640949554896146,0.2967359050445104
2019-08-01,13.94658753709199,4.154302670623145,3.5608308605341246,13.353115727002967,3.5608308605341246,0.2967359050445104,5.934718100890208,0.0
2019-09-01,24.33234421364985,2.0771513353115725,2.6706231454005933,12.166172106824925,6.824925816023739,0.2967359050445104,5.044510385756676,0.5934718100890208
2019-10-01,21.364985163204746,1.7804154302670623,1.483679525222552,18.100890207715135,7.418397626112759,2.0771513353115725,4.747774480712167,0.5934718100890208
2019-11-01,18.100890207715135,2.967359050445104,1.1869436201780417,7.71513353115727,5.044510385756676,0.0,7.121661721068249,0.5934718100890208
2019-12-01,10.385756676557865,1.483679525222552,1.7804154302670623,5.934718100890208,2.3738872403560833,2.6706231454005933,3.2640949554896146,0.0
2020-01-01,20.77151335311573,2.967359050445104,1.1869436201780417,29.376854599406528,5.044510385756676,2.3738872403560833,3.857566765578635,0.5934718100890208
2020-02-01,16.61721068249258,2.3738872403560833,0.5934718100890208,22.8486646884273,8.902077151335313,2.0771513353115725,4.747774480712167,0.2967359050445104
2020-03-01,7.121661721068249,1.7804154302670623,1.1869436201780417,16.913946587537094,4.451038575667656,0.0,4.747774480712167,0.5934718100890208
2020-04-01,8.605341246290802,1.7804154302670623,1.1869436201780417,8.902077151335313,5.044510385756676,0.2967359050445104,2.3738872403560833,0.0
2020-05-01,41.54302670623146,6.824925816023739,1.483679525222552,33.531157270029674,100.0,3.2640949554896146,10.089020771513352,9.198813056379821
2020-06-01,34.42136498516321,1.7804154302670623,0.5934718100890208,20.474777448071215,21.66172106824926,0.8902077151335311,10.089020771513352,4.451038575667656
2020-07-01,13.649851632047477,1.483679525222552,0.5934718100890208,2.967359050445104,5.341246290801187,0.5934718100890208,2.0771513353115725,0.5934718100890208
