date,Certificazione energetica,Costruzione o sostituzione tetto,Installazione o sostituzione doppi vetri,Installazione o sostituzione finestre,Installazione o sostituzione pannelli fotovoltaici,Riparazione o manutenzione tetto,Riqualificazione energetica
2018-01-01,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,33.33333333333333,0.0,0.0,16.666666666666664,0.0,0.0,0.0
2018-03-01,16.666666666666664,0.0,0.0,33.33333333333333,0.0,50.0,0.0
2018-04-01,16.666666666666664,50.0,0.0,0.0,0.0,50.0,0.0
2018-05-01,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.0
2018-08-01,33.33333333333333,0.0,0.0,16.666666666666664,0.0,0.0,0.0
2018-09-01,16.666666666666664,0.0,0.0,66.66666666666666,0.0,0.0,0.0
2018-10-01,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0
2018-12-01,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,50.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664
2019-02-01,50.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0
2019-03-01,33.33333333333333,0.0,0.0,33.33333333333333,0.0,0.0,0.0
2019-04-01,33.33333333333333,50.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,33.33333333333333,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0
2019-06-01,66.66666666666666,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0
2019-07-01,66.66666666666666,0.0,0.0,16.666666666666664,0.0,0.0,0.0
2019-08-01,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,0.0,0.0
2019-09-01,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0
2019-10-01,66.66666666666666,0.0,0.0,16.666666666666664,0.0,0.0,0.0
2019-11-01,50.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0
2019-12-01,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0
2020-01-01,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.0
2020-02-01,33.33333333333333,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0
2020-03-01,50.0,0.0,0.0,33.33333333333333,16.666666666666664,0.0,0.0
2020-05-01,50.0,33.33333333333333,0.0,33.33333333333333,16.666666666666664,33.33333333333333,0.0
2020-06-01,100.0,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0
2020-07-01,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0
