date,traiteur,isPartial
2018-01-07,29,False
2018-01-14,36,False
2018-01-21,36,False
2018-01-28,34,False
2018-02-04,43,False
2018-02-11,34,False
2018-02-18,31,False
2018-02-25,31,False
2018-03-04,35,False
2018-03-11,39,False
2018-03-18,47,False
2018-03-25,38,False
2018-04-01,33,False
2018-04-08,40,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,43,False
2018-05-06,32,False
2018-05-13,39,False
2018-05-20,30,False
2018-05-27,43,False
2018-06-03,41,False
2018-06-10,37,False
2018-06-17,26,False
2018-06-24,34,False
2018-07-01,31,False
2018-07-08,24,False
2018-07-15,32,False
2018-07-22,31,False
2018-07-29,39,False
2018-08-05,29,False
2018-08-12,26,False
2018-08-19,40,False
2018-08-26,29,False
2018-09-02,41,False
2018-09-09,27,False
2018-09-16,35,False
2018-09-23,30,False
2018-09-30,41,False
2018-10-07,31,False
2018-10-14,39,False
2018-10-21,35,False
2018-10-28,38,False
2018-11-04,55,False
2018-11-11,40,False
2018-11-18,41,False
2018-11-25,59,False
2018-12-02,71,False
2018-12-09,84,False
2018-12-16,82,False
2018-12-23,76,False
2018-12-30,37,False
2019-01-06,40,False
2019-01-13,39,False
2019-01-20,48,False
2019-01-27,39,False
2019-02-03,41,False
2019-02-10,45,False
2019-02-17,29,False
2019-02-24,32,False
2019-03-03,42,False
2019-03-10,35,False
2019-03-17,35,False
2019-03-24,34,False
2019-03-31,24,False
2019-04-07,44,False
2019-04-14,36,False
2019-04-21,37,False
2019-04-28,29,False
2019-05-05,42,False
2019-05-12,39,False
2019-05-19,37,False
2019-05-26,40,False
2019-06-02,38,False
2019-06-09,30,False
2019-06-16,52,False
2019-06-23,35,False
2019-06-30,34,False
2019-07-07,49,False
2019-07-14,28,False
2019-07-21,30,False
2019-07-28,45,False
2019-08-04,47,False
2019-08-11,32,False
2019-08-18,32,False
2019-08-25,29,False
2019-09-01,43,False
2019-09-08,40,False
2019-09-15,40,False
2019-09-22,45,False
2019-09-29,47,False
2019-10-06,45,False
2019-10-13,32,False
2019-10-20,46,False
2019-10-27,34,False
2019-11-03,45,False
2019-11-10,43,False
2019-11-17,66,False
2019-11-24,66,False
2019-12-01,68,False
2019-12-08,100,False
2019-12-15,85,False
2019-12-22,64,False
2019-12-29,45,False
2020-01-05,41,False
2020-01-12,50,False
2020-01-19,47,False
2020-01-26,50,False
2020-02-02,46,False
2020-02-09,43,False
2020-02-16,38,False
2020-02-23,33,False
2020-03-01,46,False
2020-03-08,40,False
2020-03-15,10,False
2020-03-22,19,False
2020-03-29,25,False
2020-04-05,17,False
2020-04-12,19,False
2020-04-19,23,False
2020-04-26,17,False
2020-05-03,24,False
2020-05-10,27,False
2020-05-17,29,True
