date,Glasschiebetür,isPartial
2018-01-07,83,False
2018-01-14,76,False
2018-01-21,85,False
2018-01-28,75,False
2018-02-04,100,False
2018-02-11,86,False
2018-02-18,84,False
2018-02-25,86,False
2018-03-04,77,False
2018-03-11,69,False
2018-03-18,98,False
2018-03-25,70,False
2018-04-01,81,False
2018-04-08,66,False
2018-04-15,43,False
2018-04-22,48,False
2018-04-29,54,False
2018-05-06,36,False
2018-05-13,66,False
2018-05-20,49,False
2018-05-27,45,False
2018-06-03,56,False
2018-06-10,51,False
2018-06-17,57,False
2018-06-24,54,False
2018-07-01,57,False
2018-07-08,61,False
2018-07-15,57,False
2018-07-22,41,False
2018-07-29,38,False
2018-08-05,52,False
2018-08-12,53,False
2018-08-19,58,False
2018-08-26,52,False
2018-09-02,76,False
2018-09-09,65,False
2018-09-16,48,False
2018-09-23,94,False
2018-09-30,88,False
2018-10-07,89,False
2018-10-14,66,False
2018-10-21,66,False
2018-10-28,82,False
2018-11-04,66,False
2018-11-11,61,False
2018-11-18,55,False
2018-11-25,75,False
2018-12-02,63,False
2018-12-09,62,False
2018-12-16,48,False
2018-12-23,44,False
2018-12-30,95,False
2019-01-06,72,False
2019-01-13,62,False
2019-01-20,75,False
2019-01-27,80,False
2019-02-03,82,False
2019-02-10,81,False
2019-02-17,77,False
2019-02-24,77,False
2019-03-03,43,False
2019-03-10,76,False
2019-03-17,64,False
2019-03-24,59,False
2019-03-31,68,False
2019-04-07,61,False
2019-04-14,49,False
2019-04-21,51,False
2019-04-28,60,False
2019-05-05,56,False
2019-05-12,69,False
2019-05-19,46,False
2019-05-26,43,False
2019-06-02,46,False
2019-06-09,45,False
2019-06-16,43,False
2019-06-23,36,False
2019-06-30,32,False
2019-07-07,59,False
2019-07-14,50,False
2019-07-21,41,False
2019-07-28,54,False
2019-08-04,51,False
2019-08-11,60,False
2019-08-18,45,False
2019-08-25,41,False
2019-09-01,59,False
2019-09-08,38,False
2019-09-15,63,False
2019-09-22,61,False
2019-09-29,87,False
2019-10-06,72,False
2019-10-13,56,False
2019-10-20,57,False
2019-10-27,88,False
2019-11-03,53,False
2019-11-10,77,False
2019-11-17,67,False
2019-11-24,57,False
2019-12-01,62,False
2019-12-08,46,False
2019-12-15,43,False
2019-12-22,44,False
2019-12-29,60,False
2020-01-05,65,False
2020-01-12,77,False
2020-01-19,71,False
2020-01-26,63,False
2020-02-02,75,False
2020-02-09,61,False
2020-02-16,53,False
2020-02-23,72,False
2020-03-01,72,False
2020-03-08,44,False
2020-03-15,45,False
2020-03-22,31,False
2020-03-29,50,False
2020-04-05,42,False
2020-04-12,53,False
2020-04-19,49,False
2020-04-26,51,False
2020-05-03,75,False
2020-05-10,73,False
