geoName,geoCode,Glasschiebetür
Baden-Württemberg,DE-BW,65
Bavaria,DE-BY,60
Berlin,DE-BE,27
Brandenburg,DE-BB,53
Bremen,DE-HB,36
Hamburg,DE-HH,39
Hesse,DE-HE,44
Lower Saxony,DE-NI,52
Mecklenburg-Vorpommern,DE-MV,68
North Rhine-Westphalia,DE-NW,58
Rhineland-Palatinate,DE-RP,70
Saarland,DE-SL,100
Saxony,DE-SN,67
Saxony-Anhalt,DE-ST,60
Schleswig-Holstein,DE-SH,39
Thuringia,DE-TH,79
