geoName,geoCode,Maquillaje
Andalusia,ES-AN,66
Aragon,ES-AR,50
Asturias,ES-AS,66
Balearic Islands,ES-IB,54
Basque Country,ES-PV,71
Canary Islands,ES-CN,85
Cantabria,ES-CB,50
Castile and León,ES-CL,62
Castile-La Mancha,ES-CM,72
Catalonia,ES-CT,56
Ceuta,ES-CE,78
Community of Madrid,ES-MD,51
Extremadura,ES-EX,100
Galicia,ES-GA,76
La Rioja,ES-RI,53
Melilla,ES-ML,75
Navarre,ES-NC,53
Region of Murcia,ES-MC,73
Valencian Community,ES-VC,53
