date,moustiquaire sur mesure
2018-01-07,0.0
2018-01-14,0.0
2018-01-21,0.0
2018-01-28,0.0
2018-02-04,0.0
2018-02-11,0.0
2018-02-18,0.0
2018-02-25,0.0
2018-03-04,0.0
2018-03-11,0.58125
2018-03-18,0.0
2018-03-25,0.14375
2018-04-01,0.0
2018-04-08,0.15
2018-04-15,0.1625
2018-04-22,0.225
2018-04-29,0.24375
2018-05-06,0.46875
2018-05-13,0.14375
2018-05-20,0.0
2018-05-27,0.54375
2018-06-03,0.15
2018-06-10,0.54375
2018-06-17,0.475
2018-06-24,0.3
2018-07-01,0.29375
2018-07-08,0.55
2018-07-15,0.4875
2018-07-22,0.48125
2018-07-29,0.56875
2018-08-05,0.33125
2018-08-12,0.50625
2018-08-19,0.0
2018-08-26,0.0
2018-09-02,0.0
2018-09-09,0.325
2018-09-16,0.0
2018-09-23,0.15
2018-09-30,0.31875
2018-10-07,0.0
2018-10-14,0.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.0
2019-01-06,0.29375
2019-01-13,0.29375
2019-01-20,0.0
2019-01-27,0.1375
2019-02-03,0.0
2019-02-10,0.0
2019-02-17,0.15
2019-02-24,0.30625
2019-03-03,0.1375
2019-03-10,0.28125
2019-03-17,0.21875
2019-03-24,0.2875
2019-03-31,0.1375
2019-04-07,0.45
2019-04-14,0.6
2019-04-21,0.14375
2019-04-28,0.56875
2019-05-05,0.41875
2019-05-12,0.50625
2019-05-19,0.48125
2019-05-26,0.14375
2019-06-02,0.7
2019-06-09,0.13125
2019-06-16,0.45
2019-06-23,0.1875
2019-06-30,0.53125
2019-07-07,0.56875
2019-07-14,0.375
2019-07-21,0.55625
2019-07-28,0.61875
2019-08-04,0.45625
2019-08-11,0.23125
2019-08-18,0.15625
2019-08-25,0.21875
2019-09-01,0.13125
2019-09-08,0.13125
2019-09-15,0.0
2019-09-22,0.0
2019-09-29,0.1375
2019-10-06,0.0
2019-10-13,0.0
2019-10-20,0.13125
2019-10-27,0.0
2019-11-03,0.125
2019-11-10,0.0
2019-11-17,0.0
2019-11-24,0.0
2019-12-01,0.125
2019-12-08,0.125
2019-12-15,0.0
2019-12-22,0.0
2019-12-29,0.0
2020-01-05,0.38125
2020-01-12,0.375
2020-01-19,0.0
2020-01-26,0.11875
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.3625
2020-02-23,0.25
2020-03-01,0.11875
2020-03-08,0.1125
2020-03-15,0.1125
2020-03-22,0.2125
2020-03-29,0.0
2020-04-05,0.2875
2020-04-12,0.25
2020-04-19,0.6125
2020-04-26,0.3625
2020-05-03,0.8375
2020-05-10,0.18125
2020-05-17,0.86875
2020-05-24,0.80625
2020-05-31,0.69375
2020-06-07,0.5
2020-06-14,0.39375
2020-06-21,1.0
2020-06-28,0.43125
2020-07-05,0.54375
2020-07-12,0.45625
2020-07-19,0.2875
