geoName,geoCode,moustiquaire sur mesure
Brittany,FR-E,21.105527638190953
Centre-Val de Loire,FR-F,22.110552763819097
Corsica,FR-H,0.0
Pays de la Loire,FR-R,25.125628140703515
Provence-Alpes-Côte d'Azur,FR-U,76.38190954773869
Île-de-France,FR-J,11.055276381909549
Grand-Est,FR-GE,48.57621440536013
Hauts-de-France,FR-HF,25.628140703517587
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,67.33668341708542
Nouvelle-Aquitaine,FR-NA,32.83082077051926
Occitanie,FR-OC,100.0
Auvergne-Rhône-Alpes,FR-AR,80.90452261306532
