geoName,geoCode,partecipazioni
Abruzzo,IT-65,66
Aosta,IT-23,0
Apulia,IT-75,83
Basilicata,IT-77,83
Calabria,IT-78,39
Campania,IT-72,100
Emilia-Romagna,IT-45,70
Friuli-Venezia Giulia,IT-36,56
Lazio,IT-62,73
Liguria,IT-42,66
Lombardy,IT-25,80
Marche,IT-57,70
Molise,IT-67,80
Piedmont,IT-21,65
Sardinia,IT-88,79
Sicily,IT-82,80
Trentino-Alto Adige/South Tyrol,IT-32,47
Tuscany,IT-52,80
Umbria,IT-55,80
Veneto,IT-34,57
