geoName,geoCode,Hochzeitstorte
Baden-Württemberg,DE-BW,78
Bavaria,DE-BY,80
Berlin,DE-BE,56
Brandenburg,DE-BB,67
Bremen,DE-HB,100
Hamburg,DE-HH,56
Hesse,DE-HE,85
Lower Saxony,DE-NI,78
Mecklenburg-Vorpommern,DE-MV,96
North Rhine-Westphalia,DE-NW,75
Rhineland-Palatinate,DE-RP,79
Saarland,DE-SL,86
Saxony,DE-SN,85
Saxony-Anhalt,DE-ST,89
Schleswig-Holstein,DE-SH,91
Thuringia,DE-TH,88
