geoName,geoCode,magliette personalizzate
Abruzzo,IT-65,47
Aosta,IT-23,0
Apulia,IT-75,33
Basilicata,IT-77,0
Calabria,IT-78,32
Campania,IT-72,12
Emilia-Romagna,IT-45,59
Friuli-Venezia Giulia,IT-36,100
Lazio,IT-62,48
Liguria,IT-42,36
Lombardy,IT-25,51
Marche,IT-57,44
Molise,IT-67,0
Piedmont,IT-21,43
Sardinia,IT-88,92
Sicily,IT-82,20
Trentino-Alto Adige/South Tyrol,IT-32,42
Tuscany,IT-52,51
Umbria,IT-55,42
Veneto,IT-34,47
