geoName,geoCode,Haustür
Burgenland,AT-1,53
Carinthia,AT-2,100
Lower Austria,AT-3,63
Salzburg,AT-5,61
Styria,AT-6,63
Tyrol,AT-7,69
Upper Austria,AT-4,84
Vienna,AT-9,40
Vorarlberg,AT-8,55
