geoName,geoCode,Garagentorantrieb
Baden-Württemberg,DE-BW,94
Bavaria,DE-BY,100
Berlin,DE-BE,16
Brandenburg,DE-BB,44
Bremen,DE-HB,0
Hamburg,DE-HH,49
Hesse,DE-HE,51
Lower Saxony,DE-NI,76
Mecklenburg-Vorpommern,DE-MV,33
North Rhine-Westphalia,DE-NW,92
Rhineland-Palatinate,DE-RP,74
Saarland,DE-SL,80
Saxony,DE-SN,46
Saxony-Anhalt,DE-ST,87
Schleswig-Holstein,DE-SH,26
Thuringia,DE-TH,49
