geoName,geoCode,Heizung wird nicht warm
Baden-Württemberg,DE-BW,19
Bavaria,DE-BY,23
Berlin,DE-BE,12
Brandenburg,DE-BB,30
Bremen,DE-HB,0
Hamburg,DE-HH,82
Hesse,DE-HE,18
Lower Saxony,DE-NI,39
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,32
Rhineland-Palatinate,DE-RP,21
Saarland,DE-SL,67
Saxony,DE-SN,16
Saxony-Anhalt,DE-ST,37
Schleswig-Holstein,DE-SH,29
Thuringia,DE-TH,74
