date,psychologie,isPartial
2018-01-07,61,False
2018-01-14,69,False
2018-01-21,59,False
2018-01-28,89,False
2018-02-04,78,False
2018-02-11,70,False
2018-02-18,63,False
2018-02-25,49,False
2018-03-04,69,False
2018-03-11,42,False
2018-03-18,75,False
2018-03-25,66,False
2018-04-01,75,False
2018-04-08,65,False
2018-04-15,41,False
2018-04-22,51,False
2018-04-29,47,False
2018-05-06,76,False
2018-05-13,67,False
2018-05-20,77,False
2018-05-27,78,False
2018-06-03,78,False
2018-06-10,40,False
2018-06-17,83,False
2018-06-24,59,False
2018-07-01,61,False
2018-07-08,60,False
2018-07-15,58,False
2018-07-22,53,False
2018-07-29,38,False
2018-08-05,33,False
2018-08-12,49,False
2018-08-19,54,False
2018-08-26,57,False
2018-09-02,73,False
2018-09-09,66,False
2018-09-16,69,False
2018-09-23,70,False
2018-09-30,76,False
2018-10-07,84,False
2018-10-14,73,False
2018-10-21,69,False
2018-10-28,57,False
2018-11-04,48,False
2018-11-11,67,False
2018-11-18,76,False
2018-11-25,62,False
2018-12-02,61,False
2018-12-09,54,False
2018-12-16,55,False
2018-12-23,50,False
2018-12-30,70,False
2019-01-06,79,False
2019-01-13,90,False
2019-01-20,99,False
2019-01-27,82,False
2019-02-03,61,False
2019-02-10,61,False
2019-02-17,47,False
2019-02-24,78,False
2019-03-03,69,False
2019-03-10,60,False
2019-03-17,82,False
2019-03-24,78,False
2019-03-31,63,False
2019-04-07,74,False
2019-04-14,34,False
2019-04-21,53,False
2019-04-28,61,False
2019-05-05,43,False
2019-05-12,49,False
2019-05-19,74,False
2019-05-26,42,False
2019-06-02,51,False
2019-06-09,65,False
2019-06-16,72,False
2019-06-23,56,False
2019-06-30,60,False
2019-07-07,52,False
2019-07-14,51,False
2019-07-21,49,False
2019-07-28,36,False
2019-08-04,33,False
2019-08-11,57,False
2019-08-18,57,False
2019-08-25,58,False
2019-09-01,71,False
2019-09-08,60,False
2019-09-15,57,False
2019-09-22,81,False
2019-09-29,42,False
2019-10-06,51,False
2019-10-13,50,False
2019-10-20,88,False
2019-10-27,60,False
2019-11-03,54,False
2019-11-10,59,False
2019-11-17,61,False
2019-11-24,51,False
2019-12-01,52,False
2019-12-08,58,False
2019-12-15,59,False
2019-12-22,29,False
2019-12-29,48,False
2020-01-05,77,False
2020-01-12,86,False
2020-01-19,79,False
2020-01-26,64,False
2020-02-02,57,False
2020-02-09,60,False
2020-02-16,66,False
2020-02-23,45,False
2020-03-01,56,False
2020-03-08,49,False
2020-03-15,45,False
2020-03-22,75,False
2020-03-29,100,False
2020-04-05,63,False
2020-04-12,57,False
2020-04-19,84,False
2020-04-26,74,False
2020-05-03,71,False
2020-05-10,53,False
2020-05-17,55,True
