geoName,geoCode,Metalbau
Baden-Württemberg,DE-BW,17
Bavaria,DE-BY,21
Berlin,DE-BE,0
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,100
Hesse,DE-HE,29
Lower Saxony,DE-NI,23
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,21
Rhineland-Palatinate,DE-RP,19
Saarland,DE-SL,0
Saxony,DE-SN,50
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,0
Thuringia,DE-TH,0
