geoName,geoCode,Notario
Andalusia,ES-AN,64
Aragon,ES-AR,72
Asturias,ES-AS,53
Balearic Islands,ES-IB,69
Basque Country,ES-PV,53
Canary Islands,ES-CN,60
Cantabria,ES-CB,66
Castile and León,ES-CL,67
Castile-La Mancha,ES-CM,55
Catalonia,ES-CT,66
Ceuta,ES-CE,0
Community of Madrid,ES-MD,100
Extremadura,ES-EX,40
Galicia,ES-GA,84
La Rioja,ES-RI,59
Melilla,ES-ML,54
Navarre,ES-NC,72
Region of Murcia,ES-MC,53
Valencian Community,ES-VC,75
