geoName,geoCode,guide jardinage
Brittany,FR-E,0.0
Centre-Val de Loire,FR-F,0.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,0.0
Provence-Alpes-Côte d'Azur,FR-U,0.0
Île-de-France,FR-J,100.0
Grand-est,FR-GE,0.0
Hauts-de-france,FR-HF,0.0
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,0.0
Nouvelle-Aquitaine,FR-NA,0.0
Occitanie,FR-OC,0.0
Auvergne-Rhône-Alpes,FR-AR,0.0
