geoName,geoCode,canzoni
Abruzzo,IT-65,84
Aosta,IT-23,74
Apulia,IT-75,100
Basilicata,IT-77,90
Calabria,IT-78,100
Campania,IT-72,87
Emilia-Romagna,IT-45,63
Friuli-Venezia Giulia,IT-36,56
Lazio,IT-62,69
Liguria,IT-42,69
Lombardy,IT-25,65
Marche,IT-57,77
Molise,IT-67,94
Piedmont,IT-21,66
Sardinia,IT-88,79
Sicily,IT-82,83
Trentino-Alto Adige/South Tyrol,IT-32,43
Tuscany,IT-52,70
Umbria,IT-55,70
Veneto,IT-34,63
