geoName,geoCode,sposo
Abruzzo,IT-65,78
Aosta,IT-23,30
Apulia,IT-75,100
Basilicata,IT-77,86
Calabria,IT-78,76
Campania,IT-72,73
Emilia-Romagna,IT-45,60
Friuli-Venezia Giulia,IT-36,49
Lazio,IT-62,58
Liguria,IT-42,66
Lombardy,IT-25,63
Marche,IT-57,62
Molise,IT-67,69
Piedmont,IT-21,54
Sardinia,IT-88,66
Sicily,IT-82,81
Trentino-Alto Adige/South Tyrol,IT-32,46
Tuscany,IT-52,60
Umbria,IT-55,60
Veneto,IT-34,52
