date,Climatisation
2018-01-07,0.075
2018-01-14,0.055
2018-01-21,0.06
2018-01-28,0.07
2018-02-04,0.075
2018-02-11,0.055
2018-02-18,0.055
2018-02-25,0.055
2018-03-04,0.09
2018-03-11,0.065
2018-03-18,0.085
2018-03-25,0.06
2018-04-01,0.08
2018-04-08,0.08
2018-04-15,0.105
2018-04-22,0.125
2018-04-29,0.095
2018-05-06,0.105
2018-05-13,0.065
2018-05-20,0.135
2018-05-27,0.1
2018-06-03,0.13
2018-06-10,0.1
2018-06-17,0.165
2018-06-24,0.165
2018-07-01,0.315
2018-07-08,0.15
2018-07-15,0.16
2018-07-22,0.215
2018-07-29,0.575
2018-08-05,0.42
2018-08-12,0.095
2018-08-19,0.135
2018-08-26,0.12
2018-09-02,0.085
2018-09-09,0.075
2018-09-16,0.07
2018-09-23,0.1
2018-09-30,0.075
2018-10-07,0.075
2018-10-14,0.08
2018-10-21,0.085
2018-10-28,0.08
2018-11-04,0.06
2018-11-11,0.06
2018-11-18,0.055
2018-11-25,0.045
2018-12-02,0.06
2018-12-09,0.05
2018-12-16,0.08
2018-12-23,0.045
2018-12-30,0.045
2019-01-06,0.07
2019-01-13,0.075
2019-01-20,0.065
2019-01-27,0.065
2019-02-03,0.07
2019-02-10,0.08
2019-02-17,0.085
2019-02-24,0.085
2019-03-03,0.065
2019-03-10,0.09
2019-03-17,0.085
2019-03-24,0.055
2019-03-31,0.08
2019-04-07,0.065
2019-04-14,0.11
2019-04-21,0.105
2019-04-28,0.1
2019-05-05,0.08
2019-05-12,0.13
2019-05-19,0.12
2019-05-26,0.11
2019-06-02,0.215
2019-06-09,0.16
2019-06-16,0.26
2019-06-23,1.0
2019-06-30,0.66
2019-07-07,0.275
2019-07-14,0.26
2019-07-21,0.68
2019-07-28,0.19
2019-08-04,0.135
2019-08-11,0.105
2019-08-18,0.075
2019-08-25,0.125
2019-09-01,0.1
2019-09-08,0.11
2019-09-15,0.115
2019-09-22,0.08
2019-09-29,0.115
2019-10-06,0.095
2019-10-13,0.095
2019-10-20,0.095
2019-10-27,0.085
2019-11-03,0.08
2019-11-10,0.095
2019-11-17,0.09
2019-11-24,0.055
2019-12-01,0.1
2019-12-08,0.065
2019-12-15,0.065
2019-12-22,0.03
2019-12-29,0.07
2020-01-05,0.1
2020-01-12,0.11
2020-01-19,0.075
2020-01-26,0.11
2020-02-02,0.1
2020-02-09,0.1
2020-02-16,0.12
2020-02-23,0.095
2020-03-01,0.08
2020-03-08,0.1
2020-03-15,0.06
2020-03-22,0.035
2020-03-29,0.055
2020-04-05,0.065
2020-04-12,0.075
2020-04-19,0.12
2020-04-26,0.11
2020-05-03,0.16
2020-05-10,0.13
2020-05-17,0.335
2020-05-24,0.34
2020-05-31,0.25
2020-06-07,0.15
2020-06-14,0.165
