geoName,geoCode,Pflasterarbeiten
Baden-Württemberg,DE-BW,20
Bavaria,DE-BY,36
Berlin,DE-BE,22
Brandenburg,DE-BB,100
Bremen,DE-HB,96
Hamburg,DE-HH,35
Hesse,DE-HE,24
Lower Saxony,DE-NI,67
Mecklenburg-Vorpommern,DE-MV,59
North Rhine-Westphalia,DE-NW,38
Rhineland-Palatinate,DE-RP,43
Saarland,DE-SL,34
Saxony,DE-SN,31
Saxony-Anhalt,DE-ST,69
Schleswig-Holstein,DE-SH,56
Thuringia,DE-TH,69
