date,Pflasterarbeiten,isPartial
2018-01-07,48,False
2018-01-14,24,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,37,False
2018-02-11,34,False
2018-02-18,50,False
2018-02-25,49,False
2018-03-04,42,False
2018-03-11,74,False
2018-03-18,38,False
2018-03-25,80,False
2018-04-01,54,False
2018-04-08,38,False
2018-04-15,34,False
2018-04-22,50,False
2018-04-29,68,False
2018-05-06,52,False
2018-05-13,33,False
2018-05-20,35,False
2018-05-27,66,False
2018-06-03,66,False
2018-06-10,59,False
2018-06-17,36,False
2018-06-24,56,False
2018-07-01,39,False
2018-07-08,31,False
2018-07-15,56,False
2018-07-22,48,False
2018-07-29,25,False
2018-08-05,38,False
2018-08-12,81,False
2018-08-19,54,False
2018-08-26,53,False
2018-09-02,52,False
2018-09-09,50,False
2018-09-16,50,False
2018-09-23,50,False
2018-09-30,100,False
2018-10-07,61,False
2018-10-14,49,False
2018-10-21,33,False
2018-10-28,25,False
2018-11-04,47,False
2018-11-11,24,False
2018-11-18,23,False
2018-11-25,24,False
2018-12-02,31,False
2018-12-09,47,False
2018-12-16,25,False
2018-12-23,29,False
2018-12-30,26,False
2019-01-06,57,False
2019-01-13,22,False
2019-01-20,67,False
2019-01-27,22,False
2019-02-03,45,False
2019-02-10,46,False
2019-02-17,61,False
2019-02-24,82,False
2019-03-03,31,False
2019-03-10,34,False
2019-03-17,65,False
2019-03-24,24,False
2019-03-31,41,False
2019-04-07,39,False
2019-04-14,77,False
2019-04-21,25,False
2019-04-28,35,False
2019-05-05,68,False
2019-05-12,70,False
2019-05-19,53,False
2019-05-26,48,False
2019-06-02,71,False
2019-06-09,50,False
2019-06-16,57,False
2019-06-23,24,False
2019-06-30,46,False
2019-07-07,22,False
2019-07-14,23,False
2019-07-21,49,False
2019-07-28,36,False
2019-08-04,25,False
2019-08-11,59,False
2019-08-18,77,False
2019-08-25,41,False
2019-09-01,31,False
2019-09-08,70,False
2019-09-15,59,False
2019-09-22,60,False
2019-09-29,23,False
2019-10-06,52,False
2019-10-13,30,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,21,False
2019-11-10,55,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,45,False
2019-12-08,37,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,32,False
2020-01-12,52,False
2020-01-19,35,False
2020-01-26,42,False
2020-02-02,34,False
2020-02-09,50,False
2020-02-16,53,False
2020-02-23,28,False
2020-03-01,61,False
2020-03-08,32,False
2020-03-15,75,False
2020-03-22,57,False
2020-03-29,38,False
2020-04-05,49,False
2020-04-12,79,False
2020-04-19,71,False
2020-04-26,70,False
2020-05-03,58,False
2020-05-10,71,False
