,geoName,tapis yoga
3,Brittany,50.0
5,Centre-Val de Loire,50.0
7,Corsica,100.0
15,Pays de la Loire,50.0
18,Provence-Alpes-Côte d'Azur,70.0
21,Île-de-France,79.0
22,Grand-est,43.666666666666664
23,Hauts-de-france,35.5
24,Normandie,48.5
25,Bourgogne-Franche-Comté,39.5
26,Nouvelle-Aquitaine,51.333333333333336
27,Occitanie,56.5
28,Auvergne-Rhône-Alpes,50.0
