date,décoration mariage,isPartial
2018-01-07,56,False
2018-01-14,48,False
2018-01-21,69,False
2018-01-28,66,False
2018-02-04,80,False
2018-02-11,60,False
2018-02-18,81,False
2018-02-25,95,False
2018-03-04,83,False
2018-03-11,84,False
2018-03-18,71,False
2018-03-25,63,False
2018-04-01,53,False
2018-04-08,63,False
2018-04-15,68,False
2018-04-22,69,False
2018-04-29,71,False
2018-05-06,82,False
2018-05-13,56,False
2018-05-20,69,False
2018-05-27,73,False
2018-06-03,66,False
2018-06-10,68,False
2018-06-17,65,False
2018-06-24,75,False
2018-07-01,66,False
2018-07-08,60,False
2018-07-15,65,False
2018-07-22,77,False
2018-07-29,64,False
2018-08-05,47,False
2018-08-12,70,False
2018-08-19,73,False
2018-08-26,58,False
2018-09-02,49,False
2018-09-09,63,False
2018-09-16,87,False
2018-09-23,51,False
2018-09-30,58,False
2018-10-07,59,False
2018-10-14,61,False
2018-10-21,38,False
2018-10-28,77,False
2018-11-04,64,False
2018-11-11,44,False
2018-11-18,27,False
2018-11-25,43,False
2018-12-02,37,False
2018-12-09,20,False
2018-12-16,33,False
2018-12-23,40,False
2018-12-30,45,False
2019-01-06,72,False
2019-01-13,60,False
2019-01-20,78,False
2019-01-27,68,False
2019-02-03,83,False
2019-02-10,84,False
2019-02-17,62,False
2019-02-24,63,False
2019-03-03,59,False
2019-03-10,60,False
2019-03-17,93,False
2019-03-24,79,False
2019-03-31,73,False
2019-04-07,83,False
2019-04-14,51,False
2019-04-21,56,False
2019-04-28,73,False
2019-05-05,93,False
2019-05-12,64,False
2019-05-19,93,False
2019-05-26,73,False
2019-06-02,86,False
2019-06-09,66,False
2019-06-16,58,False
2019-06-23,67,False
2019-06-30,53,False
2019-07-07,55,False
2019-07-14,91,False
2019-07-21,47,False
2019-07-28,50,False
2019-08-04,78,False
2019-08-11,73,False
2019-08-18,67,False
2019-08-25,85,False
2019-09-01,80,False
2019-09-08,64,False
2019-09-15,82,False
2019-09-22,63,False
2019-09-29,45,False
2019-10-06,38,False
2019-10-13,54,False
2019-10-20,62,False
2019-10-27,74,False
2019-11-03,44,False
2019-11-10,54,False
2019-11-17,43,False
2019-11-24,55,False
2019-12-01,27,False
2019-12-08,19,False
2019-12-15,37,False
2019-12-22,37,False
2019-12-29,59,False
2020-01-05,64,False
2020-01-12,73,False
2020-01-19,68,False
2020-01-26,70,False
2020-02-02,69,False
2020-02-09,72,False
2020-02-16,100,False
2020-02-23,69,False
2020-03-01,62,False
2020-03-08,61,False
2020-03-15,27,False
2020-03-22,38,False
2020-03-29,40,False
2020-04-05,25,False
2020-04-12,32,True
