geoName,geoCode,foto matrimonio
Abruzzo,IT-65,15
Aosta,IT-23,100
Apulia,IT-75,36
Basilicata,IT-77,62
Calabria,IT-78,52
Campania,IT-72,42
Emilia-Romagna,IT-45,43
Friuli-Venezia Giulia,IT-36,29
Lazio,IT-62,37
Liguria,IT-42,23
Lombardy,IT-25,28
Marche,IT-57,40
Molise,IT-67,52
Piedmont,IT-21,40
Sardinia,IT-88,25
Sicily,IT-82,36
Trentino-Alto Adige/South Tyrol,IT-32,22
Tuscany,IT-52,35
Umbria,IT-55,45
Veneto,IT-34,36
