geoName,geoCode,ricevimento
Abruzzo,IT-65,46
Aosta,IT-23,0
Apulia,IT-75,54
Basilicata,IT-77,70
Calabria,IT-78,44
Campania,IT-72,42
Emilia-Romagna,IT-45,31
Friuli-Venezia Giulia,IT-36,41
Lazio,IT-62,48
Liguria,IT-42,40
Lombardy,IT-25,35
Marche,IT-57,22
Molise,IT-67,58
Piedmont,IT-21,38
Sardinia,IT-88,46
Sicily,IT-82,100
Trentino-Alto Adige/South Tyrol,IT-32,50
Tuscany,IT-52,45
Umbria,IT-55,47
Veneto,IT-34,29
