geoName,geoCode,Abfallentsorgung
Baden-Württemberg,DE-BW,14
Bavaria,DE-BY,20
Berlin,DE-BE,11
Brandenburg,DE-BB,70
Bremen,DE-HB,17
Hamburg,DE-HH,15
Hesse,DE-HE,31
Lower Saxony,DE-NI,29
Mecklenburg-Vorpommern,DE-MV,36
North Rhine-Westphalia,DE-NW,21
Rhineland-Palatinate,DE-RP,29
Saarland,DE-SL,18
Saxony,DE-SN,65
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,24
Thuringia,DE-TH,24
