geoName,geoCode,Trockeneisstrahlen
Baden-Württemberg,DE-BW,50
Bavaria,DE-BY,50
Berlin,DE-BE,28
Brandenburg,DE-BB,0
Bremen,DE-HB,100
Hamburg,DE-HH,31
Hesse,DE-HE,27
Lower Saxony,DE-NI,58
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,61
Rhineland-Palatinate,DE-RP,27
Saarland,DE-SL,0
Saxony,DE-SN,47
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,69
