date,Trockeneisstrahlen,isPartial
2018-01-07,39,False
2018-01-14,47,False
2018-01-21,47,False
2018-01-28,38,False
2018-02-04,44,False
2018-02-11,75,False
2018-02-18,57,False
2018-02-25,52,False
2018-03-04,61,False
2018-03-11,78,False
2018-03-18,26,False
2018-03-25,70,False
2018-04-01,56,False
2018-04-08,40,False
2018-04-15,62,False
2018-04-22,44,False
2018-04-29,50,False
2018-05-06,60,False
2018-05-13,44,False
2018-05-20,84,False
2018-05-27,67,False
2018-06-03,53,False
2018-06-10,47,False
2018-06-17,47,False
2018-06-24,36,False
2018-07-01,26,False
2018-07-08,35,False
2018-07-15,68,False
2018-07-22,100,False
2018-07-29,45,False
2018-08-05,54,False
2018-08-12,50,False
2018-08-19,68,False
2018-08-26,59,False
2018-09-02,80,False
2018-09-09,67,False
2018-09-16,44,False
2018-09-23,41,False
2018-09-30,40,False
2018-10-07,49,False
2018-10-14,53,False
2018-10-21,48,False
2018-10-28,60,False
2018-11-04,59,False
2018-11-11,60,False
2018-11-18,54,False
2018-11-25,57,False
2018-12-02,47,False
2018-12-09,51,False
2018-12-16,66,False
2018-12-23,50,False
2018-12-30,47,False
2019-01-06,69,False
2019-01-13,36,False
2019-01-20,72,False
2019-01-27,79,False
2019-02-03,53,False
2019-02-10,41,False
2019-02-17,37,False
2019-02-24,55,False
2019-03-03,58,False
2019-03-10,57,False
2019-03-17,72,False
2019-03-24,59,False
2019-03-31,55,False
2019-04-07,42,False
2019-04-14,64,False
2019-04-21,62,False
2019-04-28,70,False
2019-05-05,53,False
2019-05-12,63,False
2019-05-19,86,False
2019-05-26,47,False
2019-06-02,41,False
2019-06-09,51,False
2019-06-16,26,False
2019-06-23,25,False
2019-06-30,50,False
2019-07-07,74,False
2019-07-14,52,False
2019-07-21,27,False
2019-07-28,26,False
2019-08-04,46,False
2019-08-11,38,False
2019-08-18,56,False
2019-08-25,55,False
2019-09-01,43,False
2019-09-08,42,False
2019-09-15,67,False
2019-09-22,57,False
2019-09-29,45,False
2019-10-06,45,False
2019-10-13,44,False
2019-10-20,40,False
2019-10-27,27,False
2019-11-03,49,False
2019-11-10,50,False
2019-11-17,31,False
2019-11-24,57,False
2019-12-01,35,False
2019-12-08,39,False
2019-12-15,60,False
2019-12-22,27,False
2019-12-29,42,False
2020-01-05,59,False
2020-01-12,58,False
2020-01-19,63,False
2020-01-26,59,False
2020-02-02,47,False
2020-02-09,54,False
2020-02-16,34,False
2020-02-23,51,False
2020-03-01,50,False
2020-03-08,54,False
2020-03-15,37,False
2020-03-22,26,False
2020-03-29,40,False
2020-04-05,40,False
2020-04-12,56,False
2020-04-19,41,False
2020-04-26,69,False
2020-05-03,77,False
2020-05-10,53,False
