geoName,geoCode,Cours de yoga
Brittany,FR-E,62.0
Centre-Val de Loire,FR-F,60.0
Corsica,FR-H,98.0
Pays de la Loire,FR-R,73.0
Provence-Alpes-Côte d'Azur,FR-U,100.0
Île-de-France,FR-J,66.0
Grand-est,FR-GE,42.666666666666664
Hauts-de-france,FR-HF,45.0
Normandie,FR-NO,43.5
Bourgogne-Franche-Comté,FR-BFC,65.5
Nouvelle-Aquitaine,FR-NA,78.0
Occitanie,FR-OC,85.0
Auvergne-Rhône-Alpes,FR-AR,70.0
