date,Fioraio,isPartial
2018-01-07,20,False
2018-01-14,26,False
2018-01-21,41,False
2018-01-28,27,False
2018-02-04,25,False
2018-02-11,79,False
2018-02-18,29,False
2018-02-25,18,False
2018-03-04,49,False
2018-03-11,26,False
2018-03-18,38,False
2018-03-25,27,False
2018-04-01,29,False
2018-04-08,30,False
2018-04-15,19,False
2018-04-22,36,False
2018-04-29,15,False
2018-05-06,27,False
2018-05-13,41,False
2018-05-20,22,False
2018-05-27,40,False
2018-06-03,20,False
2018-06-10,28,False
2018-06-17,40,False
2018-06-24,32,False
2018-07-01,30,False
2018-07-08,32,False
2018-07-15,38,False
2018-07-22,37,False
2018-07-29,31,False
2018-08-05,26,False
2018-08-12,22,False
2018-08-19,45,False
2018-08-26,31,False
2018-09-02,37,False
2018-09-09,36,False
2018-09-16,32,False
2018-09-23,31,False
2018-09-30,30,False
2018-10-07,32,False
2018-10-14,31,False
2018-10-21,46,False
2018-10-28,28,False
2018-11-04,25,False
2018-11-11,30,False
2018-11-18,31,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,46,False
2018-12-16,35,False
2018-12-23,34,False
2018-12-30,18,False
2019-01-06,20,False
2019-01-13,23,False
2019-01-20,30,False
2019-01-27,33,False
2019-02-03,14,False
2019-02-10,100,False
2019-02-17,33,False
2019-02-24,31,False
2019-03-03,73,False
2019-03-10,13,False
2019-03-17,20,False
2019-03-24,36,False
2019-03-31,40,False
2019-04-07,16,False
2019-04-14,31,False
2019-04-21,36,False
2019-04-28,26,False
2019-05-05,36,False
2019-05-12,47,False
2019-05-19,28,False
2019-05-26,22,False
2019-06-02,28,False
2019-06-09,23,False
2019-06-16,38,False
2019-06-23,40,False
2019-06-30,32,False
2019-07-07,40,False
2019-07-14,39,False
2019-07-21,27,False
2019-07-28,22,False
2019-08-04,35,False
2019-08-11,31,False
2019-08-18,28,False
2019-08-25,31,False
2019-09-01,31,False
2019-09-08,38,False
2019-09-15,32,False
2019-09-22,47,False
2019-09-29,48,False
2019-10-06,20,False
2019-10-13,36,False
2019-10-20,45,False
2019-10-27,21,False
2019-11-03,34,False
2019-11-10,30,False
2019-11-17,23,False
2019-11-24,33,False
2019-12-01,54,False
2019-12-08,32,False
2019-12-15,44,False
2019-12-22,48,False
2019-12-29,20,False
2020-01-05,36,False
2020-01-12,27,False
2020-01-19,34,False
2020-01-26,29,False
2020-02-02,19,False
2020-02-09,84,False
2020-02-16,29,False
2020-02-23,18,False
2020-03-01,36,False
2020-03-08,27,False
2020-03-15,16,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,39,False
2020-04-12,31,False
2020-04-19,39,False
2020-04-26,41,True
