geoName,geoCode,fioraio
Abruzzo,IT-65,74
Aosta,IT-23,100
Apulia,IT-75,59
Basilicata,IT-77,42
Calabria,IT-78,42
Campania,IT-72,74
Emilia-Romagna,IT-45,52
Friuli-Venezia Giulia,IT-36,24
Lazio,IT-62,59
Liguria,IT-42,27
Lombardy,IT-25,39
Marche,IT-57,63
Molise,IT-67,58
Piedmont,IT-21,55
Sardinia,IT-88,43
Sicily,IT-82,46
Trentino-Alto Adige/South Tyrol,IT-32,24
Tuscany,IT-52,75
Umbria,IT-55,58
Veneto,IT-34,18
