,geoName,means
7,Abruzzo,66.66255230491798
27,Basilicata,100.0
47,Calabria,75.07124992729601
68,Campania,51.27357143743871
89,Emilia-Romagna,51.931433965105846
110,Friuli-Venezia Giulia,59.68974946716532
131,Lazio,54.55686427520505
152,Liguria,40.652136975287924
173,Lombardy,63.86210007785612
194,Marche,63.97314886647704
213,Molise,35.27948612819462
229,Piedmont,57.69584619073031
250,Apulia,56.21491941637877
271,Sardinia,64.26230982406156
292,Sicily,56.54151089020828
313,Tuscany,52.42209370340163
334,Trentino-Alto Adige/South Tyrol,68.05004663989942
355,Umbria,74.25355245747599
375,Aosta,53.94437130378451
391,Veneto,50.06966569445173
