,geoName,means
13,Abruzzo,43.98962354235783
33,Basilicata,25.95547974348651
53,Calabria,47.8270711670599
74,Campania,18.714798911540374
95,Emilia-Romagna,100.0
116,Friuli-Venezia Giulia,86.60549533353506
137,Lazio,42.6923138079236
158,Liguria,46.85679996771572
179,Lombardy,58.908789097391875
200,Marche,36.54803134021799
235,Piedmont,74.61708126660939
256,Apulia,45.47010671655786
277,Sardinia,46.29137537321994
298,Sicily,37.55845980623405
319,Tuscany,53.40445322575352
340,Trentino-Alto Adige/South Tyrol,20.380057005060245
361,Umbria,83.51575165665032
379,Aosta,63.00684164927222
397,Veneto,85.75864829421607
