,geoName,means
6,Abruzzo,82.56513957181009
26,Basilicata,52.196184539099235
46,Calabria,32.05990484824894
67,Campania,27.599186966249643
88,Emilia-Romagna,100.0
109,Friuli-Venezia Giulia,69.66507976279964
130,Lazio,60.94558025286611
151,Liguria,58.63107278011608
172,Lombardy,71.62362284876528
193,Marche,81.6640993316226
228,Piedmont,69.55634172328679
249,Apulia,23.16477085032552
270,Sardinia,48.76218661763042
291,Sicily,31.470687475003796
312,Tuscany,74.92728040106998
333,Trentino-Alto Adige/South Tyrol,40.984070680505766
354,Umbria,81.82143378703104
374,Aosta,84.47071078254076
390,Veneto,66.49048648363951
