date,means
2018-01-01,25.281081643807095
2018-02-01,17.064730109569787
2018-03-01,17.696757150664965
2018-04-01,16.43270306847461
2018-05-01,15.800676027379433
2018-06-01,13.9045949040939
2018-07-01,13.9045949040939
2018-08-01,14.53662194518908
2018-09-01,25.913108684902266
2018-10-01,13.9045949040939
2018-11-01,10.744459698618016
2018-12-01,12.640540821903548
2019-01-01,21.48891939723603
2019-02-01,28.44121684928298
2019-03-01,24.017027561616736
2019-04-01,18.328784191760143
2019-05-01,30.33729797256851
2019-06-01,29.70527093147333
2019-07-01,14.53662194518908
2019-08-01,11.376486739713192
2019-09-01,18.328784191760143
2019-10-01,29.07324389037816
2019-11-01,19.5928382739505
2019-12-01,12.008513780808368
2020-01-01,16.43270306847461
2020-02-01,7.584324493142128
2020-03-01,5.056216328761418
2020-04-01,4.424189287666241
2020-05-01,22.752973479426384
2020-06-01,18.328784191760143
2020-07-01,10.744459698618016
